Source,Target,Type,Label,Weight
Repo:munshisanowarraihan/nerf-meta,Method:nerf-meta,Directed,repo_implements_method,1.0
Method:nerf,Dataset:shapenet,Directed,method_uses_dataset,1.0
Repo:cuiziteng/Aleth-NeRF,Method:aleth-nerf,Directed,repo_implements_method,1.0
Repo:liuyuan-pal/NeuRay,Method:neuray,Directed,repo_implements_method,1.0
Method:neuray,Dataset:dtu,Directed,method_uses_dataset,0.95
Method:neuray,Dataset:llff,Directed,method_uses_dataset,0.95
Repo:JulianKnodt/nerf_atlas,Method:nerf,Directed,repo_implements_method,1.0
Repo:JulianKnodt/nerf_atlas,Method:tinynerf,Directed,repo_implements_method,1.0
Repo:JulianKnodt/nerf_atlas,Method:nerfae,Directed,repo_implements_method,1.0
Repo:autonomousvision/sdfstudio,Method:neus,Directed,repo_implements_method,1.0
Repo:autonomousvision/sdfstudio,Method:bakedsdf,Directed,repo_implements_method,1.0
Repo:autonomousvision/sdfstudio,Method:neus-facto-bigmlp,Directed,repo_implements_method,1.0
Repo:ventusff/neurecon,Method:neus,Directed,repo_implements_method,1.0
Repo:ashawkey/CCNeRF,Method:ccnerf,Directed,repo_implements_method,1.0
Repo:TencentARC/ArcNerf,Method:nerf,Directed,repo_implements_method,0.9
Repo:TencentARC/ArcNerf,Method:neus,Directed,repo_implements_method,0.9
Repo:TencentARC/ArcNerf,Method:ngp,Directed,repo_implements_method,0.9
Repo:VITA-Group/NeRF-SOS,Method:nerf-sos,Directed,repo_implements_method,1.0
Method:nerf-sos,Dataset:llff,Directed,method_uses_dataset,0.9
Repo:apple/ml-facelit,Method:facelit,Directed,repo_implements_method,1.0
Repo:skyhehe123/AutoRF-pytorch,Method:autorf,Directed,repo_implements_method,1.0
Method:autorf,Dataset:kitti,Directed,method_uses_dataset,0.95
Repo:cwchenwang/NeRF-SR,Method:nerf-sr,Directed,repo_implements_method,1.0
Method:nerf-sr,Dataset:llff,Directed,method_uses_dataset,0.9
Repo:kwea123/ngp_pl,Method:ngp_pl,Directed,repo_implements_method,1.0
Repo:google-research/visu3d,Method:v3d.dataclassarray,Directed,repo_implements_method,0.9
Repo:mli0603/BlenderNeuralangelo,Method:blenderneuralangelo,Directed,repo_implements_method,1.0
Repo:quan-meng/gnerf,Method:gnerf,Directed,repo_implements_method,1.0
Method:gnerf,Dataset:dtu,Directed,method_uses_dataset,1.0
Repo:lipku/LiveTalking,Method:musetalk,Directed,repo_implements_method,1.0
Repo:lipku/LiveTalking,Method:wav2lip,Directed,repo_implements_method,1.0
Repo:HannesStark/SMPL-NeRF,Method:nerf,Directed,repo_implements_method,0.95
Repo:HannesStark/SMPL-NeRF,Method:image_wise_dynamic,Directed,repo_implements_method,0.95
Repo:Enigmatisms/NeRF,Method:nerf,Directed,repo_implements_method,0.9
Repo:Enigmatisms/NeRF,Method:info-nerf,Directed,repo_implements_method,0.9
Repo:rlgnswk/NeRFFaceSpeech_Code,Method:nerffacespeech,Directed,repo_implements_method,1.0
Repo:Ruyi-Zha/naf_cbct,Method:naf,Directed,repo_implements_method,1.0
Repo:randerka/cNeRF,Method:nerf,Directed,repo_implements_method,1.0
Repo:chinhsuanwu/dreamfusionacc,Method:dreamfusionacc,Directed,repo_implements_method,0.99
Repo:Madaoer/S3IM-Neural-Fields,Method:s3im,Directed,repo_implements_method,0.99
Method:s3im,Dataset:replica,Directed,method_uses_dataset,0.9
Repo:caiyuanhao1998/HDR-GS,Method:hdr-gs,Directed,repo_implements_method,1.0
Repo:snap-research/R2L,Method:r2l,Directed,repo_implements_method,0.99
Repo:meyerls/FruitNeRF,Method:fruitnerf++,Directed,repo_implements_method,0.98
Repo:thu3dhuman/sourcecode,Method:humannorm,Directed,repo_implements_method,0.9
Repo:thu3dhuman/sourcecode,Method:dreamcraft3d,Directed,repo_implements_method,0.9
Repo:thu3dhuman/sourcecode,Method:styleavatar,Directed,repo_implements_method,0.9
Repo:thu3dhuman/sourcecode,Method:faceverse,Directed,repo_implements_method,0.9
Repo:thu3dhuman/sourcecode,Method:pymaf,Directed,repo_implements_method,0.9
Repo:thu3dhuman/sourcecode,Method:normalgan,Directed,repo_implements_method,0.9
Repo:huangjh-pub/di-fusion,Method:di-fusion,Directed,repo_implements_method,1.0
Repo:panxkun/eggfusion,Method:egg-fusion,Directed,repo_implements_method,1.0
Method:egg-fusion,Dataset:replica,Directed,method_uses_dataset,1.0
Method:egg-fusion,Dataset:scannet++,Directed,method_uses_dataset,1.0
