6041
838	38	0
3122	38	0
1942	38	0
1777	38	0
4958	2052	3
4958	1942	3
4958	787	3
2052	38	0
2052	18	0
5238	3005	3
5168	1385	3
5334	1295	3
5327	1962	3
5327	1944	3
5152	1778	3
5051	2067	3
5378	1999	3
5106	306	3
5425	1968	3
5179	988	3
5335	1566	3
5286	1959	3
1942	35	0
5004	2477	3
5173	1949	3
5169	378	3
5170	218	3
5240	1704	3
5259	2024	3
2024	7	0
2024	18	0
5052	916	3
916	40	0
916	25	0
5010	1942	3
5010	3028	3
5010	2248	3
5010	1975	3
5010	1943	3
5409	1314	3
5409	1688	3
5190	1967	3
5047	2036	3
5153	2662	3
5153	3139	3
5153	3216	3
5153	2026	3
5153	2021	3
5153	1179	3
5153	1822	3
5153	1181	3
5153	308	3
5153	2018	3
5153	307	3
5153	2029	3
5153	2028	3
5153	2027	3
5153	2030	3
5079	2202	3
2202	7	0
2202	3	0
5097	1633	3
5387	3139	3
5387	3216	3
5387	2026	3
5055	3026	3
5192	3149	3
5076	2288	3
5145	414	3
5435	1990	3
1990	7	0
5182	2696	3
5093	249	3
5093	1942	3
5093	2026	3
5093	2038	3
5093	2031	3
5362	746	3
5362	741	3
746	3	0
746	5	0
746	18	0
5100	1965	3
1965	18	0
5142	976	3
5355	290	3
290	15	0
5175	1966	3
1966	18	0
5046	1416	3
5205	2815	3
2815	7	0
2815	18	0
2815	30	0
4984	1145	3
1145	38	0
1145	3	0
1145	33	0
5085	3013	3
5219	1471	3
5219	3138	3
5388	2033	3
5247	1472	3
5247	2039	3
1472	3	0
5199	2001	3
5199	3147	3
5199	3082	3
2001	7	0
5215	1618	3
5150	980	3
5150	701	3
5206	3154	3
5107	65	3
5239	1806	3
5281	349	3
5323	1242	3
1242	7	0
5412	644	3
644	7	0
5441	1958	3
1958	13	0
1958	32	0
1958	12	0
5341	1466	3
5191	1504	3
1504	32	0
5015	473	3
5389	1770	3
5256	944	3
5256	1911	3
5256	3237	3
5256	3112	3
4995	2796	3
4995	1942	3
4995	1428	3
4979	1942	3
4979	1774	3
4979	2498	3
4979	1454	3
4979	1775	3
4979	2390	3
4979	1948	3
5250	1126	3
5250	247	3
5331	1978	3
5092	160	3
5434	1488	3
5021	2922	3
5016	66	3
5120	849	3
5120	772	3
5410	795	3
5226	2060	3
5212	65	3
5414	2022	3
2022	7	0
5359	296	3
5083	1929	3
5083	1994	3
5131	1971	3
5329	1942	3
5348	104	3
5348	1127	3
5127	1463	3
5127	1464	3
5442	255	3
5442	254	3
5442	284	3
254	31	0
284	31	0
5415	1518	3
5025	2125	3
5025	2126	3
5025	65	3
2125	23	0
5340	1452	3
1452	18	0
5393	3074	3
5181	1731	3
1731	7	0
1731	18	0
1731	38	0
5167	799	3
5167	798	3
5167	1700	3
5020	96	3
5365	1387	3
5068	2652	3
5267	924	3
5132	3015	3
5132	2522	3
5132	110	3
5345	1113	3
5345	1119	3
5036	2608	3
2608	30	0
5418	1307	3
5418	1472	3
1307	32	0
5234	2100	3
5234	2009	3
4983	2518	3
5099	1462	3
1417	7	0
5130	2815	3
5130	2950	3
2950	35	0
4992	1323	3
5122	2499	3
5166	1937	3
1937	1	0
1937	7	0
1937	3	0
4972	2992	3
5253	2452	3
5253	1988	3
5161	1313	3
5294	725	3
725	18	0
5178	719	3
5178	65	3
5178	704	3
5357	2443	3
5357	1939	3
5248	2062	3
5248	2014	3
5268	3046	3
5268	1472	3
3046	15	0
5028	1472	3
5028	1092	3
5432	334	3
5129	1164	3
5129	1127	3
5129	1163	3
5098	1243	3
5003	2501	3
5426	1325	3
5408	1403	3
5221	3023	3
5221	3025	3
5090	2700	3
2700	32	0
2700	30	0
5014	2002	3
5404	2674	3
5172	910	3
5149	2646	3
2646	15	0
5427	2210	3
2210	7	0
5270	1080	3
5270	1081	3
5081	1123	3
4955	692	3
5372	1122	3
5372	240	3
5372	67	3
5372	1138	3
5372	1386	3
5372	65	3
5372	796	3
5372	1308	3
5372	2009	3
5372	297	3
5372	2017	3
5372	2920	3
5372	2036	3
5372	2415	3
5372	1416	3
5372	1597	3
5372	294	3
5372	1031	3
5372	1479	3
5372	978	3
5372	1062	3
5372	1069	3
5372	628	3
5372	2414	3
5372	606	3
5372	2058	3
5372	113	3
5372	625	3
5437	1470	3
5363	3047	3
5363	885	3
5363	884	3
5363	1048	3
5333	1730	3
5194	1100	3
5218	699	3
5317	889	3
889	30	0
889	39	0
889	33	0
5044	2489	3
1696	30	0
5296	2760	3
2760	32	0
5297	3221	3
5364	2249	3
5054	1487	3
5180	2800	3
5439	1771	3
5342	80	3
5342	2381	3
5342	1604	3
5342	932	3
5342	1093	3
5342	3076	3
5342	1017	3
5342	1016	3
5342	77	3
5346	2471	3
5254	363	3
5254	2907	3
5026	1924	3
5026	2907	3
